city_name,city_name_normalized,station_count,primary_station,primary_uic_code,centroid_latitude,centroid_longitude,all_stations
Hayange,hayange,1,Hayange,87191239,49.33053,6.07245,Hayange
Haybes,haybes,1,Haybes,87172106,50.0116888,4.7045378,Haybes
Hazebrouck,hazebrouck,1,Hazebrouck,87286302,50.72501,2.54129,Hazebrouck
Heiligenberg,heiligenberg,1,Heiligenberg - Mollkirch,87214627,48.5273135,7.381426,Heiligenberg - Mollkirch
Heilles,heilles,1,Heilles - Mouchy,87316398,49.340531,2.2725858,Heilles - Mouchy
Heilly,heilly,1,Heilly,87316059,49.9435191,2.5396593,Heilly
Hellemmes,hellemmes,1,Hellemmes,87286062,50.6226402,3.1149328,Hellemmes
Hendaye,hendaye,1,Hendaye,87677005,43.353132,-1.781724,Hendaye
Hennebont,hennebont,1,Hennebont,87476259,47.7990019,-3.2857467,Hennebont
Herblay,herblay,1,Herblay,87381889,48.99042,2.16208,Herblay
Herchies,herchies,1,Herchies,87313692,49.4879546,2.0109273,Herchies
Hermes,hermes,1,Hermes - Berthecourt,87313585,49.3544055,2.2416554,Hermes - Berthecourt
Herny,herny,1,Herny,87193383,49.0036084,6.4769285,Herny
Hesdigneul,hesdigneul,1,Hesdigneul-lès-Boulogne,87317107,50.6609475,1.6669967,Hesdigneul-lès-Boulogne
Hesdin,hesdin,1,Hesdin,87317222,50.378286,2.0351881,Hesdin
Hettange,hettange,1,Hettange-Grande,87191163,49.4076754,6.1566738,Hettange-Grande
Hirson,hirson,1,Hirson,87295063,49.91455,4.08432,Hirson
Hirson Écoles,hirson ecoles,1,Hirson Écoles,87324335,49.9288321,4.0861491,Hirson Écoles
Hochfelden,hochfelden,1,Hochfelden,87212167,48.7554199,7.572355,Hochfelden
Hoelschloch,hoelschloch,1,Hoelschloch,87213413,48.9163252,7.8314949,Hoelschloch
Hoenheim Tram,hoenheim tram,1,Hoenheim Tram,87338517,48.6285976,7.7581387,Hoenheim Tram
Hoerdt,hoerdt,1,Hoerdt,87213686,48.7029518,7.7794059,Hoerdt
Hoffen,hoffen,1,Hoffen,87213447,48.9312475,7.933587,Hoffen
Hombourg,hombourg,1,Hombourg-Haut,87193276,49.1261085,6.7742703,Hombourg-Haut
Homécourt,homecourt,1,Homécourt,87191692,49.2182988,5.9991714,Homécourt
Houdan,houdan,1,Houdan,87393462,48.7958005,1.6027371,Houdan
Houdemont,houdemont,1,Houdemont,87141473,48.645478,6.1797255,Houdemont
Houilles,houilles,1,Houilles - Carrières-sur-Seine,87386409,48.9199636,2.1850828,Houilles - Carrières-sur-Seine
Houlgate,houlgate,1,Houlgate,87444406,49.3000711,-0.0772276,Houlgate
Hundling,hundling,1,Hundling,87193540,49.1066949,6.9775394,Hundling
Huriel,huriel,1,Huriel,87641217,46.3714332,2.4762569,Huriel
Hyères,hyeres,1,Hyères,87755629,43.108867,6.124223,Hyères
Hénin,henin,1,Hénin-Beaumont,87345157,50.41706,2.95211,Hénin-Beaumont
Héricourt,hericourt,1,Héricourt,87184507,47.5729701,6.7691977,Héricourt
Héricy,hericy,1,Héricy,87682435,48.4424848,2.7605339,Héricy
Igny,igny,1,Igny,87393561,48.7399008,2.2313626,Igny
Ille,ille,1,Ille-sur-Têt,87784561,42.6682396,2.6242863,Ille-sur-Têt
Illfurth,illfurth,1,Illfurth,87182204,47.6764322,7.2685712,Illfurth
Illiers,illiers,1,Illiers-Combray,87394437,48.303937,1.2448745,Illiers-Combray
Imphy,imphy,1,Imphy,87696450,46.9333537,3.2597113,Imphy
Ingersheim,ingersheim,1,Ingersheim - Cité Scolaire,87303875,48.08883,7.29823,Ingersheim - Cité Scolaire
Ingrandes,ingrandes,1,Ingrandes-Le Fresne-sur-Loire,87484360,47.4056382,-0.9210198,Ingrandes-Le Fresne-sur-Loire
Ingrandes sur Vienne,ingrandes sur vienne,1,Ingrandes sur Vienne,87575134,46.8746283,0.5691164,Ingrandes sur Vienne
Ingwiller,ingwiller,1,Ingwiller,87213785,48.8723277,7.477155,Ingwiller
Invalides,invalides,1,Invalides,87393033,48.8619133,2.3150151,Invalides
Irigny Yvours,irigny yvours,1,Irigny Yvours,87722249,45.69002,4.83229,Irigny Yvours
Is,is,1,Is-sur-Tille,87713859,47.520454,5.129481,Is-sur-Tille
Isbergues,isbergues,1,Isbergues,87342279,50.61399,2.46277,Isbergues
Isles,isles,1,Isles - Armentières - Congis,87116616,48.9980994,3.0072998,Isles - Armentières - Congis
Issoire,issoire,1,Issoire,87734202,45.543884,3.25398,Issoire
Issou,issou,1,Issou - Porcheville,87381574,48.97931,1.78532,Issou - Porcheville
Issoudun,issoudun,1,Issoudun,87597062,46.948763,1.985834,Issoudun
Issy,issy,1,Issy-les-Moulineaux,87393074,48.8201001,2.2593469,Issy-les-Moulineaux
Issy Val de Seine,issy val de seine,1,Issy Val de Seine,87393306,48.8295555,2.2635936,Issy Val de Seine
Issé,isse,1,Issé,87481622,47.6268289,-1.45068,Issé
Istres,istres,1,Istres,87753418,43.5153953,4.9804272,Istres
Iteuil,iteuil,1,Iteuil,87577403,46.4841223,0.3168298,Iteuil
Itxassou,itxassou,1,Itxassou,87673665,43.324043,-1.3956111,Itxassou
Ivry,ivry,1,Ivry-sur-Seine,87545301,48.814371,2.39099,Ivry-sur-Seine
Iwuy,iwuy,1,Iwuy,87345397,50.2255015,3.3298634,Iwuy
Janzé,janze,1,Janzé,87471334,47.955364,-1.497538,Janzé
Jarnac,jarnac,1,Jarnac,87491472,45.6711292,-0.1777613,Jarnac
Jarrie,jarrie,1,Jarrie - Vizille,87747535,45.0854543,5.7424487,Jarrie - Vizille
Jarville,jarville,1,Jarville-la-Malgrange,87141010,48.6698381,6.2024643,Jarville-la-Malgrange
Jaunay,jaunay,1,Jaunay-Clan,87575217,46.682044,0.3816535,Jaunay-Clan
Jaux,jaux,1,Jaux,87272013,49.3868029,2.777316,Jaux
Javel,javel,1,Javel,87393066,48.8462046,2.2768401,Javel
Jeumont,jeumont,1,Jeumont,87295014,50.29606,4.08645,Jeumont
Joinville,joinville,1,Joinville,87175091,48.4442977,5.143503,Joinville
Joncet,joncet,1,Joncet,87784710,42.5615245,2.3111464,Joncet
Joncherey,joncherey,1,Joncherey,87700153,47.5262,6.9988,Joncherey
Jonchery,jonchery,1,Jonchery-sur-Vesle,87171314,49.290057,3.819422,Jonchery-sur-Vesle
Jonzac,jonzac,1,Jonzac,87491142,45.4387456,-0.44164,Jonzac
Joué,joue,1,Joué-lès-Tours,87571885,47.3541741,0.6675586,Joué-lès-Tours
