uic_code,station_name,station_name_normalized,city_name,city_name_normalized,latitude,longitude,segment_drg
87733733,Lucay-le-Mâle Champ de Foire,lucay-le-male champ de foire,Lucay-le-Mâle Champ de Foire,lucay-le-male champ de foire,47.123286,1.438125,
87734004,Clermont-Ferrand,clermont-ferrand,Clermont-Ferrand,clermont-ferrand,45.778945,3.100543,
87734038,Royat - Chamalières,royat - chamalieres,Royat - Chamalières,royat - chamalieres,45.767617,3.061503,
87734046,Gerzat,gerzat,Gerzat,gerzat,45.833488,3.143236,
87734053,Riom - Châtel-Guyon,riom - chatel-guyon,Riom - Châtel-Guyon,riom - chatel-guyon,45.889965,3.120498,
87734087,Pont-du-Château,pont-du-chateau,Pont-du-Château,pont-du-chateau,45.788529,3.238384,
87734103,Pontmort,pontmort,Pontmort,pontmort,45.940101,3.160014,
87734111,Aubiat,aubiat,Aubiat,aubiat,45.983827,3.160514,
87734129,Aigueperse,aigueperse,Aigueperse,aigueperse,46.014869,3.197912,
87734152,Sarliève - Cournon,sarlieve - cournon,Sarliève - Cournon,sarlieve - cournon,45.738743,3.168075,
87734160,Le Cendre - Orcet,le cendre - orcet,Le Cendre - Orcet,le cendre - orcet,45.723828,3.188682,
87734178,Les Martres-de-Veyre,les martres-de-veyre,Les Martres-de-Veyre,les martres-de-veyre,45.688195,3.193325,
87734186,Vic-le-Comte,vic-le-comte,Vic-le-Comte,vic-le-comte,45.664941,3.207042,
87734194,Parent - Coudes - Champeix,parent - coudes - champeix,Parent - Coudes - Champeix,parent - coudes - champeix,45.614416,3.216771,
87734202,Issoire,issoire,Issoire,issoire,45.543949,3.25404,
87734228,Le Breuil-sur-Couze,le breuil-sur-couze,Le Breuil-sur-Couze,le breuil-sur-couze,45.467099,3.262221,
87734244,Brassac-les-Mines - Sainte-Florine,brassac-les-mines - sainte-florine,Brassac-les-Mines - Sainte-Florine,brassac-les-mines - sainte-florine,45.414246,3.330167,
87734251,Arvant,arvant,Arvant,arvant,45.365459,3.310554,
87734269,Brioude,brioude,Brioude,brioude,45.300561,3.37856,
87734293,Paulhaguet,paulhaguet,Paulhaguet,paulhaguet,45.21023,3.500626,
87734301,Saint-Georges-d'Aurac,saint-georges-daurac,Saint-Georges-d'Aurac,saint-georges-daurac,45.160594,3.494704,
87734319,Langeac,langeac,Langeac,langeac,45.101252,3.490605,
87734335,Monistrol-d'Allier,monistrol-dallier,Monistrol-d'Allier,monistrol-dallier,44.969665,3.650042,
87734343,Chapeauroux,chapeauroux,Chapeauroux,chapeauroux,44.83806,3.741864,
87734350,Langogne,langogne,Langogne,langogne,44.732604,3.857239,
87734368,Luc,luc,Luc,luc,44.654112,3.891142,
87734426,Vertaizon,vertaizon,Vertaizon,vertaizon,45.784579,3.288241,
87734442,Lezoux,lezoux,Lezoux,lezoux,45.821218,3.385986,
87734459,Pont de Dore,pont de dore,Pont,pont,45.842875,3.49045,
87734475,Thiers,thiers,Thiers,thiers,45.861093,3.543099,
87734491,Chabreloche Pont Bascule,chabreloche pont bascule,Chabreloche,chabreloche,45.879388,3.694762,
87734673,Darsac,darsac,Darsac,darsac,45.142183,3.736628,
87734681,Borne (Haute-Loire),borne haute-loire,Borne (Haute-Loire),borne haute-loire,45.099563,3.799295,
87734699,Le Puy-en-Velay,le puy-en-velay,Le Puy-en-Velay,le puy-en-velay,45.042866,3.892421,
87734707,Lavoûte-sur-Loire,lavoute-sur-loire,Lavoûte-sur-Loire,lavoute-sur-loire,45.12145,3.90541,
