origin_uic,destination_uic,origin_name,destination_name,trip_count,duration_minutes,source
87391003,87396002,Paris Montparnasse,Le Mans,176,57,GTFS_TGV
87271494,87223263,Aéroport Charles de Gaulle 2 TGV,Lille Europe,175,55,GTFS_TGV
87723197,87111849,Lyon Part Dieu,Marne-la-Vallée Chessy,174,106,GTFS_TGV
87581009,87583005,Bordeaux Saint-Jean,Angoulême,173,41,GTFS_TGV
87271494,87313882,Aéroport Charles de Gaulle 2 TGV,Haute Picardie TGV,172,29,GTFS_TGV
87471003,87478404,Rennes,Laval,166,26,GTFS_TGV
87478404,87471003,Laval,Rennes,161,27,GTFS_TGV
87775007,87773002,Nîmes,Montpellier Saint-Roch,159,26,GTFS_TGV
87763029,87775007,Valence TGV Rhône-Alpes Sud,Nîmes,159,45,GTFS_TGV
87583005,87581009,Angoulême,Bordeaux Saint-Jean,156,42,GTFS_TGV
87571240,87575001,Saint-Pierre-des-Corps,Poitiers,153,32,GTFS_TGV
87318964,87686006,Avignon TGV,Paris Gare de Lyon,150,165,GTFS_TGV
87142109,87212027,Lorraine TGV,Strasbourg,147,37,GTFS_TGV
87741777,87741793,Landry,Bourg-Saint-Maurice,143,7,GTFS_TGV
87741769,87741777,Aime - La Plagne,Landry,143,7,GTFS_TGV
87741728,87741769,Moûtiers - Salins - Brides-les-Bains,Aime - La Plagne,143,15,GTFS_TGV
87741645,87741728,Albertville,Moûtiers - Salins - Brides-les-Bains,143,22,GTFS_TGV
87393702,87571240,Massy TGV,Saint-Pierre-des-Corps,142,56,GTFS_TGV
87741777,87741769,Landry,Aime - La Plagne,141,7,GTFS_TGV
87741728,87741645,Moûtiers - Salins - Brides-les-Bains,Albertville,141,23,GTFS_TGV
87741793,87741777,Bourg-Saint-Maurice,Landry,141,7,GTFS_TGV
87741769,87741728,Aime - La Plagne,Moûtiers - Salins - Brides-les-Bains,141,15,GTFS_TGV
87583005,87575001,Angoulême,Poitiers,138,41,GTFS_TGV
87673202,87673004,Dax,Bayonne,134,30,GTFS_TGV
87673004,87673400,Bayonne,Biarritz,134,9,GTFS_TGV
87673400,87677120,Biarritz,Saint-Jean-de-Luz - Ciboure,134,13,GTFS_TGV
87677120,87677005,Saint-Jean-de-Luz - Ciboure,Hendaye,134,13,GTFS_TGV
87473207,87473009,Guingamp,Saint-Brieuc,132,15,GTFS_TGV
87473009,87473207,Saint-Brieuc,Guingamp,131,15,GTFS_TGV
87478404,87396002,Laval,Le Mans,128,29,GTFS_TGV
87342014,87313882,Arras,Haute Picardie TGV,127,18,GTFS_TGV
87171926,87147322,Champagne-Ardenne TGV,Meuse TGV,125,24,GTFS_TGV
87391003,87571216,Paris Montparnasse,Vendôme - Villiers-sur-Loir TGV,124,44,GTFS_TGV
87212027,87142109,Strasbourg,Lorraine TGV,123,36,GTFS_TGV
87396002,87478404,Le Mans,Laval,123,30,GTFS_TGV
