origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status,origin_name,destination_name,trip_count,source
87723197,87722025,,12,TRAIN,GTFS,Lyon Part Dieu,Lyon Perrache,233,gtfs_stop_times
87722025,87723197,,12,TRAIN,GTFS,Lyon Perrache,Lyon Part Dieu,233,gtfs_stop_times
87756387,87756379,,4,IC,GTFS,Èze,Beaulieu-sur-Mer,230,gtfs_stop_times
87756361,87756353,,4,IC,GTFS,Villefranche-sur-Mer,Nice Riquier,230,gtfs_stop_times
87756379,87756361,,3,IC,GTFS,Beaulieu-sur-Mer,Villefranche-sur-Mer,230,gtfs_stop_times
87756403,87756395,,4,IC,GTFS,Monaco-Monte-Carlo,Cap-d'Ail,230,gtfs_stop_times
87756395,87756403,,4,IC,GTFS,Cap-d'Ail,Monaco-Monte-Carlo,230,gtfs_stop_times
87756379,87756387,,4,IC,GTFS,Beaulieu-sur-Mer,Èze,230,gtfs_stop_times
87756353,87756361,,4,IC,GTFS,Nice Riquier,Villefranche-sur-Mer,230,gtfs_stop_times
87756361,87756379,,3,IC,GTFS,Villefranche-sur-Mer,Beaulieu-sur-Mer,230,gtfs_stop_times
87756056,87756353,,6,IC,GTFS,Nice-Ville,Nice Riquier,230,gtfs_stop_times
87756353,87756056,,6,IC,GTFS,Nice Riquier,Nice-Ville,230,gtfs_stop_times
87756395,87756387,,4,IC,GTFS,Cap-d'Ail,Èze,230,gtfs_stop_times
87756387,87756395,,4,IC,GTFS,Èze,Cap-d'Ail,230,gtfs_stop_times
87581009,87583005,,44,TRAIN,GTFS,Bordeaux Saint-Jean,Angoulême,229,gtfs_stop_times
87583005,87581009,,44,TRAIN,GTFS,Angoulême,Bordeaux Saint-Jean,229,gtfs_stop_times
87223263,87271494,,64,TGV,GTFS,Lille Europe,Aéroport Charles de Gaulle 2 TGV,225,gtfs_stop_times
87271494,87223263,,64,TGV,GTFS,Aéroport Charles de Gaulle 2 TGV,Lille Europe,225,gtfs_stop_times
87394130,87394007,,14,TRAIN,GTFS,Maintenon,Chartres,223,gtfs_stop_times
87394007,87394130,,14,TRAIN,GTFS,Chartres,Maintenon,223,gtfs_stop_times
87581009,87673202,,77,TGV,GTFS,Bordeaux Saint-Jean,Dax,221,gtfs_stop_times
87673202,87581009,,77,TGV,GTFS,Dax,Bordeaux Saint-Jean,221,gtfs_stop_times
87756460,87756403,,7,IC,GTFS,Roquebrune-Cap-Martin,Monaco-Monte-Carlo,218,gtfs_stop_times
87756403,87756460,,7,IC,GTFS,Monaco-Monte-Carlo,Roquebrune-Cap-Martin,218,gtfs_stop_times
87394254,87394221,,11,TRAIN,GTFS,La Loupe,Courville-sur-Eure,217,gtfs_stop_times
87394221,87394254,,11,TRAIN,GTFS,Courville-sur-Eure,La Loupe,217,gtfs_stop_times
87394007,87394221,,11,TRAIN,GTFS,Chartres,Courville-sur-Eure,215,gtfs_stop_times
87713578,87713545,,9,TRAIN,GTFS,Chagny,Beaune,215,gtfs_stop_times
87721357,87721332,,10,TRAIN,GTFS,Belleville sur Sâone,Villefranche-sur-Saône,215,gtfs_stop_times
87725689,87721357,,13,TRAIN,GTFS,Mâcon,Belleville sur Sâone,215,gtfs_stop_times
87394221,87394007,,11,TRAIN,GTFS,Courville-sur-Eure,Chartres,215,gtfs_stop_times
87721357,87725689,,13,TRAIN,GTFS,Belleville sur Sâone,Mâcon,215,gtfs_stop_times
87721332,87721357,,10,TRAIN,GTFS,Villefranche-sur-Saône,Belleville sur Sâone,215,gtfs_stop_times
87713545,87713578,,9,TRAIN,GTFS,Beaune,Chagny,215,gtfs_stop_times
87394296,87394254,,14,TRAIN,GTFS,Nogent-le-Rotrou,La Loupe,214,gtfs_stop_times
87394254,87394296,,14,TRAIN,GTFS,La Loupe,Nogent-le-Rotrou,214,gtfs_stop_times
87721282,87723197,,14,TRAIN,GTFS,Saint-Germain-au-Mont-d'Or,Lyon Part Dieu,213,gtfs_stop_times
87723197,87721282,,14,TRAIN,GTFS,Lyon Part Dieu,Saint-Germain-au-Mont-d'Or,213,gtfs_stop_times
87721332,87721282,,9,TRAIN,GTFS,Villefranche-sur-Saône,Saint-Germain-au-Mont-d'Or,212,gtfs_stop_times
87721282,87721332,,9,TRAIN,GTFS,Saint-Germain-au-Mont-d'Or,Villefranche-sur-Saône,212,gtfs_stop_times
87313304,87313270,,10,TRAIN,GTFS,Clermont de l'Oise,Saint-Just-en-Chaussée,208,gtfs_stop_times
87313270,87313304,,10,TRAIN,GTFS,Saint-Just-en-Chaussée,Clermont de l'Oise,208,gtfs_stop_times
87394114,87393314,,9,TRAIN,GTFS,Épernon,Rambouillet,207,gtfs_stop_times
87118257,87118299,,13,TRAIN,GTFS,Vendeuvre,Bar-sur-Aube,207,gtfs_stop_times
87393314,87394114,,9,TRAIN,GTFS,Rambouillet,Épernon,207,gtfs_stop_times
87118299,87118257,,13,TRAIN,GTFS,Bar-sur-Aube,Vendeuvre,207,gtfs_stop_times
87118299,87142000,,22,TRAIN,GTFS,Bar-sur-Aube,Chaumont,206,gtfs_stop_times
87142000,87118299,,22,TRAIN,GTFS,Chaumont,Bar-sur-Aube,206,gtfs_stop_times
87683318,87683268,,13,TRAIN,GTFS,Saint-Florentin - Vergigny,Laroche - Migennes,205,gtfs_stop_times
87713198,87683318,,13,TRAIN,GTFS,Tonnerre,Saint-Florentin - Vergigny,205,gtfs_stop_times
87683318,87713198,,13,TRAIN,GTFS,Saint-Florentin - Vergigny,Tonnerre,205,gtfs_stop_times
87683268,87683318,,13,TRAIN,GTFS,Laroche - Migennes,Saint-Florentin - Vergigny,205,gtfs_stop_times
87725622,87725002,,13,TRAIN,GTFS,Tournus,Chalon-sur-Saône,205,gtfs_stop_times
87725689,87725622,,17,TRAIN,GTFS,Mâcon,Tournus,205,gtfs_stop_times
87725622,87725689,,17,TRAIN,GTFS,Tournus,Mâcon,205,gtfs_stop_times
87725002,87725622,,13,TRAIN,GTFS,Chalon-sur-Saône,Tournus,205,gtfs_stop_times
87118257,87118000,,17,TRAIN,GTFS,Vendeuvre,Troyes,204,gtfs_stop_times
87713198,87713156,,16,TRAIN,GTFS,Tonnerre,Nuits sous Ravières,204,gtfs_stop_times
87713131,87713115,,8,TRAIN,GTFS,Montbard,Les Laumes - Alésia,204,gtfs_stop_times
87118000,87118257,,17,TRAIN,GTFS,Troyes,Vendeuvre,204,gtfs_stop_times
87713156,87713198,,16,TRAIN,GTFS,Nuits sous Ravières,Tonnerre,204,gtfs_stop_times
87713131,87713156,,10,TRAIN,GTFS,Montbard,Nuits sous Ravières,204,gtfs_stop_times
87713156,87713131,,10,TRAIN,GTFS,Nuits sous Ravières,Montbard,204,gtfs_stop_times
87713115,87713131,,8,TRAIN,GTFS,Les Laumes - Alésia,Montbard,204,gtfs_stop_times
87471391,87471003,,6,TRAIN,GTFS,Pontchaillou,Rennes,202,gtfs_stop_times
87471003,87471391,,6,TRAIN,GTFS,Rennes,Pontchaillou,202,gtfs_stop_times
87396002,87391003,,59,TGV,GTFS,Le Mans,Paris Montparnasse Hall 1 - 2,201,gtfs_stop_times
87396309,87396002,,16,TRAIN,GTFS,Connerré - Beillé,Le Mans,201,gtfs_stop_times
87396325,87396309,,11,TRAIN,GTFS,La Ferté-Bernard,Connerré - Beillé,201,gtfs_stop_times
87713040,87713115,,28,TRAIN,GTFS,Dijon,Les Laumes - Alésia,201,gtfs_stop_times
87713115,87713040,,28,TRAIN,GTFS,Les Laumes - Alésia,Dijon,201,gtfs_stop_times
87391003,87396002,,59,TGV,GTFS,Paris Montparnasse Hall 1 - 2,Le Mans,201,gtfs_stop_times
87396002,87396309,,16,TRAIN,GTFS,Le Mans,Connerré - Beillé,201,gtfs_stop_times
87396309,87396325,,11,TRAIN,GTFS,Connerré - Beillé,La Ferté-Bernard,201,gtfs_stop_times
87584052,87581595,,21,TRAIN,GTFS,Libourne,Cenon,200,gtfs_stop_times
87581595,87584052,,20,TRAIN,GTFS,Cenon,Libourne,200,gtfs_stop_times
87756254,87756346,,3,IC,GTFS,Nice Saint-Augustin,Saint-Laurent-du-Var,199,gtfs_stop_times
87757674,87757666,,3,IC,GTFS,Antibes,Juan les Pins,199,gtfs_stop_times
87611244,87611004,,37,TRAIN,GTFS,Montauban Ville Bourbon,Toulouse Matabiau,199,gtfs_stop_times
87611004,87611244,,37,TRAIN,GTFS,Toulouse Matabiau,Montauban Ville Bourbon,199,gtfs_stop_times
87756056,87756254,,7,IC,GTFS,Nice-Ville,Nice Saint-Augustin,199,gtfs_stop_times
87757666,87757674,,3,IC,GTFS,Juan les Pins,Antibes,199,gtfs_stop_times
87756346,87756254,,3,IC,GTFS,Saint-Laurent-du-Var,Nice Saint-Augustin,199,gtfs_stop_times
87756254,87756056,,7,IC,GTFS,Nice Saint-Augustin,Nice-Ville,199,gtfs_stop_times
87571240,87575001,,36,TGV,GTFS,Saint-Pierre-des-Corps,Poitiers,198,gtfs_stop_times
87575001,87571240,,36,TGV,GTFS,Poitiers,Saint-Pierre-des-Corps,198,gtfs_stop_times
87683573,87683268,,19,TRAIN,GTFS,Auxerre Saint-Gervais,Laroche - Migennes,196,gtfs_stop_times
87683268,87683573,,19,TRAIN,GTFS,Laroche - Migennes,Auxerre Saint-Gervais,196,gtfs_stop_times
87745497,85162743,,5,TRAIN,GTFS,Annemasse,Chêne-Bourg,194,gtfs_stop_times
85162743,85162735,,3,TRAIN,GTFS,Chêne-Bourg,Genève-Eaux-Vives,194,gtfs_stop_times
